City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,Saint George,37.1041,-113.5841,68.95,71,75,6.91,US,2022-09-16 14:37:17
331,Kununurra,-15.7667,128.7333,75.18,73,42,6.91,AU,2022-09-16 14:37:18
332,Sindor,62.8629,51.8905,52.23,72,99,6.13,RU,2022-09-16 14:37:18
333,Noumea,-22.2763,166.4572,64.38,76,9,6.96,NC,2022-09-16 14:37:19
334,Jiuquan,39.7432,98.5174,64.72,27,0,7.83,CN,2022-09-16 14:37:19
335,Cockburn Town,21.4612,-71.1419,83.89,75,20,18.63,TC,2022-09-16 14:37:20
336,Homer,59.6425,-151.5483,46.8,91,0,4.0,US,2022-09-16 14:34:12
337,North Platte,41.1239,-100.7654,62.49,95,100,4.61,US,2022-09-16 14:34:38
338,Panzhihua,26.5851,101.7128,71.08,89,79,0.31,CN,2022-09-16 14:37:21
339,Kilindoni,-7.9139,39.6668,76.55,75,7,12.46,TZ,2022-09-16 14:37:21
340,Taltal,-25.4,-70.4833,60.46,67,40,4.07,CL,2022-09-16 14:34:48
341,Madingou,-4.1536,13.55,84.87,50,100,5.73,CG,2022-09-16 14:37:22
342,Faxinal,-24.0003,-51.3194,68.27,55,7,7.52,BR,2022-09-16 14:37:23
343,Cayenne,4.9333,-52.3333,89.64,62,75,9.22,GF,2022-09-16 14:37:23
344,Bonthe,7.5264,-12.505,81.28,78,66,9.91,SL,2022-09-16 14:37:24
345,Maceio,-9.6658,-35.7353,81.84,61,75,13.8,BR,2022-09-16 14:33:24
346,Dhidhdhoo,6.8833,73.1,81.28,73,12,8.21,MV,2022-09-16 14:37:24
347,Hit,33.6416,42.8251,93.85,15,0,9.71,IQ,2022-09-16 14:37:25
348,Port Augusta,-32.5,137.7667,53.46,70,99,14.5,AU,2022-09-16 14:37:25
349,Teshie,5.5836,-0.1072,81.16,74,40,18.41,GH,2022-09-16 14:37:26
350,Manzhouli,49.6,117.4333,52.36,76,100,8.95,CN,2022-09-16 14:37:27
351,Lorengau,-2.0226,147.2712,81.05,72,100,9.95,PG,2022-09-16 14:37:27
352,Hualmay,-11.0964,-77.6139,65.66,72,51,7.47,PE,2022-09-16 14:37:27
353,Vestmannaeyjar,63.4427,-20.2734,49.19,76,100,5.75,IS,2022-09-16 14:37:28
354,Pacific Grove,36.6177,-121.9166,60.03,83,100,5.75,US,2022-09-16 14:36:13
355,Belyy Yar,53.6039,91.3903,53.49,59,0,8.95,RU,2022-09-16 14:37:29
356,Marquette,46.5333,-87.6335,62.04,98,100,2.19,US,2022-09-16 14:37:29
357,Dingle,10.9995,122.6711,75.52,93,100,6.11,PH,2022-09-16 14:37:30
358,Whittlesea,-32.1759,26.8244,85.84,13,95,24.14,ZA,2022-09-16 14:37:30
359,Lagos,6.5833,3.75,83.41,67,89,8.9,NG,2022-09-16 14:34:18
360,Namatanai,-3.6667,152.4333,79.92,77,81,10.69,PG,2022-09-16 14:37:31
361,Rundu,-17.9333,19.7667,88.68,11,0,7.58,NA,2022-09-16 14:37:31
362,Mani,4.8172,-72.2886,83.3,71,100,3.83,CO,2022-09-16 14:37:32
363,Las Lomas,8.4333,-82.4,78.21,83,20,3.44,PA,2022-09-16 14:37:32
364,Barabai,-2.5833,115.3833,73.54,97,100,2.35,ID,2022-09-16 14:38:33
365,San Quintin,30.4833,-115.95,67.53,79,45,9.44,MX,2022-09-16 14:38:34
366,Poum,-20.2333,164.0167,74.34,69,6,18.59,NC,2022-09-16 14:38:34
367,Tsumeb,-19.2333,17.7167,87.22,9,0,13.53,NA,2022-09-16 14:38:35
368,Chegutu,-18.1302,30.1407,83.07,12,0,6.08,ZW,2022-09-16 14:38:35
369,Chadan,51.2833,91.5833,43.12,71,94,3.44,RU,2022-09-16 14:38:36
370,Swan Hill,-35.3378,143.5544,42.28,94,2,8.66,AU,2022-09-16 14:38:36
371,Talnakh,69.4865,88.3972,33.21,86,50,5.93,RU,2022-09-16 14:38:37
372,Batagay-Alyta,67.8006,130.4114,31.66,72,100,4.61,RU,2022-09-16 14:38:37
373,Caninde,-4.3589,-39.3117,95.29,30,21,8.3,BR,2022-09-16 14:33:58
374,Guadalupe Y Calvo,26.1,-106.9667,61.77,57,0,4.72,MX,2022-09-16 14:38:38
375,Monki,53.405,22.7979,62.67,46,33,13.42,PL,2022-09-16 14:38:39
376,Ahuimanu,21.4447,-157.8378,75.16,88,20,4.61,US,2022-09-16 14:38:39
377,Oporapa,2.0502,-75.9768,69.04,78,100,4.05,CO,2022-09-16 14:38:40
378,Rawson,-43.3002,-65.1023,51.4,48,100,17.65,AR,2022-09-16 14:38:40
379,Fairbanks,64.8378,-147.7164,45.82,93,0,4.61,US,2022-09-16 14:35:32
380,Sept-Iles,50.2001,-66.3821,45.05,84,100,10.0,CA,2022-09-16 14:33:50
381,Iquitos,-3.7481,-73.2472,69.84,94,100,5.75,PE,2022-09-16 14:38:41
382,Moose Factory,51.2585,-80.6094,50.0,87,0,5.75,CA,2022-09-16 14:38:41
383,Laurel,39.0993,-76.8483,73.0,69,0,0.0,US,2022-09-16 14:36:47
384,Phek,25.6667,94.5,60.22,99,64,1.39,IN,2022-09-16 14:38:42
385,Contamana,-7.3333,-75.0167,72.48,66,100,3.89,PE,2022-09-16 14:38:43
386,Kabalo,-6.05,26.9167,96.93,21,55,1.79,CD,2022-09-16 14:38:43
387,Alice Springs,-23.7,133.8833,60.35,36,2,5.75,AU,2022-09-16 14:38:44
388,Am Timan,11.0297,20.2827,81.48,81,88,5.12,TD,2022-09-16 14:38:44
389,Khani,41.9563,42.9566,74.77,62,50,2.64,GE,2022-09-16 14:38:45
390,Aitape,-3.1374,142.3475,76.93,92,97,6.76,PG,2022-09-16 14:38:45
391,Vila,42.0304,-8.1588,74.7,60,65,3.18,PT,2022-09-16 14:38:46
392,Turukhansk,65.8167,87.9833,35.13,71,53,6.91,RU,2022-09-16 14:38:47
393,Muncie,40.1934,-85.3864,71.53,77,0,4.61,US,2022-09-16 14:34:06
394,Port Moresby,-9.4431,147.1797,78.22,89,40,5.75,PG,2022-09-16 14:38:47
395,Mount Isa,-20.7333,139.5,80.37,34,0,8.05,AU,2022-09-16 14:38:48
396,Doka,13.5167,35.7667,79.81,80,99,6.08,SD,2022-09-16 14:38:48
397,Mosquera,4.7059,-74.2302,57.29,82,100,2.3,CO,2022-09-16 14:38:11
398,Guerrero Negro,27.9769,-114.0611,69.87,75,0,17.47,MX,2022-09-16 14:38:49
399,Tazovskiy,67.4667,78.7,38.88,67,99,8.05,RU,2022-09-16 14:38:49
400,Lagdo,9.05,13.7333,79.12,82,100,6.96,CM,2022-09-16 14:38:50
401,Port Dover,42.7834,-80.1997,69.21,51,71,4.38,CA,2022-09-16 14:38:50
402,Anito,12.4497,125.2886,79.81,78,100,9.26,PH,2022-09-16 14:38:51
