City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,75,12.66,broken clouds
69,Gualaceo,EC,-2.9,-78.7833,69.46,80,90,6.44,light rain
70,Dalby,AU,-27.1833,151.2667,50.99,71,0,10.11,clear sky
71,Nouadhibou,MR,20.931,-17.0347,78.78,65,4,21.85,sand
72,Najran,SA,17.4924,44.1277,90.25,23,59,6.24,broken clouds
73,Zalantun,CN,48.0,122.7167,47.08,67,1,15.75,clear sky
74,Mmabatho,ZA,-25.85,25.6333,75.16,20,0,5.75,clear sky
75,Khatanga,RU,71.9667,102.5,25.65,90,48,7.96,scattered clouds
76,East London,ZA,-33.0153,27.9116,61.74,94,75,5.75,thunderstorm with light rain
77,Pevek,RU,69.7008,170.3133,33.62,99,100,19.13,overcast clouds
78,Dikson,RU,73.5069,80.5464,33.06,79,82,12.91,broken clouds
79,Caravelas,BR,-17.7125,-39.2481,68.13,87,90,13.67,overcast clouds
80,Saldanha,ZA,-33.0117,17.9442,57.25,78,100,15.9,overcast clouds
81,Maniitsoq,GL,65.4167,-52.9,45.68,89,100,6.38,overcast clouds
82,Cidreira,BR,-30.1811,-50.2056,64.6,69,0,16.11,clear sky
83,High Prairie,CA,55.4334,-116.4858,52.16,79,99,3.78,overcast clouds
84,Caraquet,CA,47.7941,-64.9386,59.54,48,5,18.39,clear sky
85,Punta Arenas,CL,-53.15,-70.9167,44.71,42,0,16.11,clear sky
86,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.0,55,80,20.04,broken clouds
87,Turukhansk,RU,65.8167,87.9833,40.86,96,100,10.42,light rain
88,Maragogi,BR,-9.0122,-35.2225,78.78,69,26,9.86,scattered clouds
89,Pisco,PE,-13.7,-76.2167,66.25,68,0,13.8,clear sky
90,Sakakah,SA,29.9697,40.2064,98.17,15,0,11.05,light rain
91,Lindi,TZ,-10.0,39.7167,73.54,78,64,7.31,broken clouds
92,Alice Springs,AU,-23.7,133.8833,57.22,26,0,5.75,clear sky
93,Qandala,SO,11.472,49.8728,89.37,56,100,2.15,overcast clouds
94,Tuatapere,NZ,-46.1333,167.6833,39.42,89,88,5.95,overcast clouds
95,Sorong,ID,-0.8833,131.25,75.58,88,100,6.13,overcast clouds
96,Vaini,TO,-21.2,-175.2,73.56,88,40,10.36,scattered clouds
97,Airai,TL,-8.9266,125.4092,59.18,69,92,1.52,overcast clouds
98,Sinop,TR,41.7711,34.8709,73.94,48,67,2.77,broken clouds
99,Champerico,GT,14.3,-91.9167,84.74,70,48,3.27,scattered clouds
100,Gizo,SB,-8.103,156.8419,81.97,78,85,10.83,light rain
101,Zapresic,HR,45.8564,15.8078,52.05,84,100,3.94,light rain
102,Sabla,NG,12.7525,4.7077,82.6,70,88,4.54,overcast clouds
103,Linxia,CN,35.6003,103.2064,60.78,71,80,2.44,broken clouds
104,Crib Point,AU,-38.35,145.2,53.89,83,75,24.63,broken clouds
105,Parangan,PH,5.0839,119.9383,82.76,76,99,9.66,light rain
106,Jamestown,US,42.097,-79.2353,78.03,58,20,6.91,few clouds
107,Mattru,SL,7.6244,-11.8332,76.37,93,75,6.15,moderate rain
108,Kodiak,US,57.79,-152.4072,54.91,82,0,13.8,clear sky
109,Bredasdorp,ZA,-34.5322,20.0403,54.88,77,100,7.99,overcast clouds
110,Barcelos,PT,41.5388,-8.6151,85.68,51,100,3.74,overcast clouds
111,Godfrey,US,38.9556,-90.1868,84.67,60,0,13.8,clear sky
112,Saskylakh,RU,71.9167,114.0833,33.19,94,100,14.38,overcast clouds
113,Zig,US,40.127,-92.7663,75.49,64,75,9.22,broken clouds
114,Kelvington,CA,52.1667,-103.5343,60.48,57,26,5.35,scattered clouds
115,Sitka,US,57.0531,-135.33,46.29,100,0,0.0,clear sky
116,King City,US,36.2127,-121.126,67.91,52,0,5.64,clear sky
117,Mount Gambier,AU,-37.8333,140.7667,49.08,83,90,13.2,overcast clouds
118,Meulaboh,ID,4.1363,96.1285,75.72,87,63,2.84,heavy intensity rain
119,Nikolskoye,RU,59.7035,30.7861,53.49,94,94,9.78,overcast clouds
120,Kavaratti,IN,10.5669,72.642,80.58,80,99,11.7,overcast clouds
