City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Luganville,VU,77.65,broken clouds,-15.5333,167.1667,The Espiritu Hotel
550,Harper,LR,78.67,broken clouds,4.375,-7.7169,Screensaver
551,Samarai,PG,81.52,scattered clouds,-10.6167,150.6667,Nuli Sapi
553,Ferkessedougou,CI,76.87,light rain,9.6,-5.2,Hotel Chateau
554,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
555,Diu,IN,77.77,few clouds,20.7141,70.9822,Hotel Relax Inn
558,Marrakesh,MA,86.07,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
560,Black River,JM,89.37,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
563,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
564,Puerto Escondido,MX,75.61,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
567,Harindanga,IN,81.72,broken clouds,22.0383,88.3214,Hasanur Builders
569,Waingapu,ID,77.31,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
570,Kasongo-Lunda,CD,78.82,light rain,-6.4667,16.8167,
574,Thanatpin,MM,78.98,overcast clouds,17.2119,96.3033,Lo Ta Ya Garden
576,Spring Valley,US,83.5,clear sky,36.108,-115.245,Westgate Flamingo Bay Resort
579,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
581,Oum Hadjer,TD,79.41,overcast clouds,13.2954,19.6966,
588,Huilong,CN,76.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
589,Tacoronte,ES,75.52,scattered clouds,28.4769,-16.4102,Casa Laurel
594,Prestea,GH,80.74,overcast clouds,5.4327,-2.1428,Channel 5
596,Saucillo,MX,82.69,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
597,Tazmalt,DZ,82.29,clear sky,36.3868,4.3989,Hôtel Numédia
598,Nishihara,JP,81.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
600,Maumere,ID,78.24,broken clouds,-8.6199,122.2111,Sylvia Hotel
601,Acapulco,MX,75.9,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
604,Makurdi,NG,75.16,broken clouds,7.7411,8.5121,Doo Palace Hotel
607,Port Blair,IN,80.74,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
609,Evanston,US,84.15,few clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
612,Bhuvanagiri,IN,82.0,broken clouds,11.4667,79.6333,RVP Lodge
616,Katobu,ID,75.2,overcast clouds,-4.9408,122.5276,La Ode Husein
617,Gaffney,US,81.57,clear sky,35.0718,-81.6498,Quality Inn Gaffney I-85
621,Lagoa Da Canoa,BR,81.03,scattered clouds,-9.8297,-36.7378,Recanto Santo Antonio
628,Waynesville,US,76.86,clear sky,35.4887,-82.9887,Best Western Smoky Mountain Inn
629,Pobe,BJ,78.51,light rain,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
634,Xiamen,CN,84.25,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
637,Kalabo,ZM,78.58,few clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
638,Abu Samrah,SY,85.05,clear sky,35.3029,37.1841,
639,Trumbull,US,78.1,scattered clouds,41.3167,-80.7665,Lakeview Mobile Home Park
641,Erzin,TR,77.36,clear sky,36.9559,36.2,Artemis Otel
642,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
644,Vilhena,BR,89.82,clear sky,-12.7406,-60.1458,Hotel Mirage
650,Ahuimanu,US,75.16,broken clouds,21.4447,-157.8378,Paradise Bay Resort
652,Tabou,CI,78.62,broken clouds,4.423,-7.3528,hotêl doufoulougou
653,New Castle,US,80.29,overcast clouds,41.0037,-80.347,Hampton Inn & Suites New Castle
654,Kasempa,ZM,75.85,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
658,Ati,TD,80.33,overcast clouds,13.2154,18.3353,
662,The Valley,AI,81.07,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
667,Beaufort,MY,75.94,moderate rain,5.3473,115.7455,The Gem Hotel Beaufort
668,Ponta Delgada,PT,79.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
669,Florida Ridge,US,86.95,overcast clouds,27.5803,-80.3867,Econo Lodge Vero Beach - Downtown
670,Pingshan,CN,79.32,broken clouds,22.9938,114.7131,Island Skylight Resort
676,Jaisalmer,IN,84.22,few clouds,26.9147,70.9181,Hotel Fifu
680,Sungai Pelek,MY,77.13,few clouds,2.6449,101.717,Artegy @ Sepang Gold Coast
